criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
gini,15,2,7,0.9120950524459296
gini,8,14,19,0.9297038893530122
entropy,5,18,2,0.9173767752715122
gini,9,19,16,0.9244036015965842
gini,14,18,18,0.9314675577833472
gini,2,14,12,0.9156038243757544
entropy,14,8,14,0.9191311612364244
gini,13,14,7,0.9120950524459296
gini,10,18,7,0.906831894551193
gini,1,2,1,0.9120950524459296
