n_estimators,max_depth,mean_test_score
9,7,0.9279216559918314
2,4,0.9261579875614964
4,2,0.9120764875150842
5,4,0.9156316717720226
9,6,0.9279216559918314
5,9,0.9191404437018472
2,7,0.9226492156316718
2,1,0.9279216559918314
