num_leaves,learning_rate,mean_test_score
9,0.1,0.9630743525480367
2,0.01,0.9016429963798386
4,0.005,0.8946161700547665
5,0.01,0.9297410192147036
9,0.05,0.9543024227234754
5,0.5,0.9701197438039544
2,0.1,0.9595655806182122
2,0.001,0.9630743525480367
