iterations,depth,learning_rate,mean_test_score
1,7,0.001,0.9173582103406664
1,3,0.005,0.8997308085027383
1,4,0.01,0.927940220922677
1,5,0.1,0.927940220922677
1,8,0.001,0.9103221015501716
1,5,0.05,0.927940220922677
1,3,0.5,0.8997308085027383
1,4,0.1,0.927940220922677
1,8,0.005,0.9103221015501716
1,2,0.001,0.9173582103406664
