criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
entropy,1,4,4,0.6666666666666666
gini,5,7,6,0.9533333333333334
gini,10,7,5,0.96
entropy,6,3,1,0.9533333333333334
entropy,10,7,1,0.9533333333333334
gini,2,5,10,0.9533333333333334
entropy,8,2,8,0.9533333333333334
gini,3,4,1,0.9533333333333334
entropy,10,10,5,0.96
gini,6,4,5,0.9533333333333334
entropy,5,10,4,0.9533333333333334
entropy,9,3,1,0.9533333333333334
gini,7,6,7,0.9466666666666668
entropy,6,9,5,0.9533333333333334
gini,9,4,8,0.9466666666666668
gini,8,3,3,0.9533333333333334
gini,6,3,3,0.9533333333333334
gini,6,9,7,0.9466666666666668
entropy,6,10,3,0.9533333333333334
entropy,8,5,4,0.9533333333333334
entropy,7,4,5,0.96
gini,1,10,8,0.6666666666666666
entropy,3,3,3,0.9533333333333334
gini,10,4,5,0.9533333333333334
entropy,7,9,8,0.9466666666666668
entropy,8,2,9,0.9466666666666668
gini,6,7,2,0.94
gini,8,8,1,0.9533333333333334
entropy,3,5,3,0.9533333333333334
entropy,10,10,4,0.9533333333333334
entropy,7,5,4,0.9533333333333334
entropy,2,3,1,0.9466666666666668
gini,9,10,5,0.9533333333333334
gini,2,2,3,0.9533333333333334
entropy,6,4,9,0.9533333333333334
entropy,5,6,1,0.9533333333333334
entropy,5,9,5,0.9533333333333334
gini,5,8,6,0.9533333333333334
gini,1,4,5,0.6666666666666666
entropy,2,7,7,0.9466666666666668
entropy,10,8,2,0.94
gini,10,4,6,0.9533333333333334
gini,4,8,4,0.9533333333333334
gini,2,4,3,0.9533333333333334
entropy,9,10,5,0.96
entropy,8,7,5,0.96
gini,1,6,3,0.6666666666666666
gini,7,2,5,0.96
entropy,10,9,8,0.9466666666666668
gini,4,9,3,0.9533333333333334
gini,2,2,1,0.9466666666666668
gini,6,6,10,0.9466666666666668
gini,9,3,10,0.9533333333333334
entropy,5,6,10,0.9466666666666668
gini,3,2,4,0.9533333333333334
entropy,10,10,10,0.9466666666666668
entropy,3,8,6,0.9533333333333334
gini,1,2,7,0.6666666666666666
entropy,8,10,10,0.9533333333333334
gini,10,4,9,0.9466666666666668
entropy,8,10,2,0.94
entropy,2,6,5,0.9466666666666668
entropy,5,8,4,0.9533333333333334
gini,4,3,5,0.9533333333333334
gini,3,9,7,0.9466666666666668
gini,6,8,4,0.9533333333333334
gini,3,4,3,0.9533333333333334
entropy,8,9,1,0.9533333333333334
gini,10,9,9,0.9466666666666668
entropy,6,6,3,0.9533333333333334
gini,1,2,5,0.6666666666666666
gini,6,9,6,0.9533333333333334
gini,6,4,2,0.94
gini,2,4,9,0.9466666666666668
gini,10,9,5,0.9533333333333334
gini,2,3,1,0.9466666666666668
gini,10,6,3,0.9533333333333334
gini,10,3,3,0.9533333333333334
entropy,5,8,9,0.9533333333333334
entropy,6,2,4,0.9533333333333334
gini,5,3,2,0.94
entropy,8,6,4,0.9533333333333334
entropy,2,10,2,0.9466666666666668
entropy,8,7,2,0.94
entropy,4,8,6,0.9533333333333334
gini,5,3,6,0.9533333333333334
entropy,6,6,9,0.9533333333333334
gini,7,8,3,0.9533333333333334
gini,9,5,3,0.9466666666666668
entropy,2,5,1,0.9466666666666668
entropy,6,10,4,0.9533333333333334
gini,1,2,6,0.6666666666666666
gini,9,9,2,0.94
entropy,7,7,7,0.9466666666666668
gini,3,10,2,0.94
gini,5,2,9,0.9466666666666668
gini,6,3,2,0.94
entropy,6,4,5,0.96
gini,1,5,2,0.6666666666666666
gini,8,4,8,0.9466666666666668
gini,6,9,5,0.9533333333333334
entropy,8,5,1,0.9533333333333334
entropy,3,3,8,0.9533333333333334
gini,3,9,1,0.9533333333333334
gini,6,3,1,0.9533333333333334
gini,1,4,6,0.6666666666666666
gini,4,2,2,0.94
entropy,10,6,4,0.9533333333333334
entropy,5,4,2,0.94
gini,3,7,1,0.9533333333333334
gini,8,2,4,0.9533333333333334
entropy,8,10,1,0.9533333333333334
gini,8,10,6,0.9533333333333334
entropy,2,2,4,0.9533333333333334
gini,7,6,3,0.9533333333333334
gini,9,10,10,0.9466666666666668
entropy,1,2,9,0.6666666666666666
entropy,8,4,2,0.94
entropy,3,10,2,0.94
gini,3,6,8,0.9466666666666668
gini,8,6,4,0.9533333333333334
entropy,9,7,3,0.9533333333333334
entropy,8,8,2,0.94
entropy,2,6,4,0.9466666666666668
gini,5,5,9,0.9466666666666668
entropy,1,5,4,0.6666666666666666
gini,5,6,10,0.9466666666666668
gini,5,4,4,0.9533333333333334
gini,7,8,8,0.9466666666666668
entropy,10,9,7,0.9466666666666668
gini,9,10,4,0.9533333333333334
entropy,4,10,6,0.9533333333333334
entropy,8,3,1,0.9533333333333334
gini,7,8,7,0.9466666666666668
gini,8,10,9,0.9533333333333334
entropy,1,5,10,0.6666666666666666
gini,6,8,3,0.9533333333333334
gini,3,2,5,0.96
gini,6,9,3,0.9533333333333334
