criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
entropy,5,5,2,0.94
gini,6,10,2,0.94
gini,8,7,3,0.9533333333333334
gini,7,9,10,0.9466666666666668
entropy,1,6,8,0.6666666666666666
gini,1,10,3,0.6666666666666666
gini,4,7,3,0.9533333333333334
entropy,4,10,1,0.9533333333333334
entropy,10,5,6,0.9533333333333334
gini,9,7,10,0.9533333333333334
gini,5,6,8,0.9466666666666668
entropy,8,10,5,0.96
gini,1,10,5,0.6666666666666666
gini,6,7,7,0.9466666666666668
gini,8,8,4,0.9533333333333334
gini,3,3,10,0.9533333333333334
entropy,3,9,1,0.9533333333333334
gini,10,10,5,0.9533333333333334
entropy,5,5,5,0.9533333333333334
gini,4,10,9,0.9466666666666668
gini,10,3,4,0.9533333333333334
entropy,1,6,1,0.6666666666666666
gini,8,6,9,0.9533333333333334
gini,2,10,8,0.9533333333333334
entropy,4,6,6,0.9533333333333334
entropy,1,7,8,0.6666666666666666
entropy,4,8,10,0.9533333333333334
entropy,6,2,10,0.9533333333333334
entropy,7,5,2,0.94
entropy,10,6,2,0.94
entropy,9,5,2,0.94
entropy,8,10,7,0.9533333333333334
gini,4,5,10,0.9533333333333334
entropy,3,8,10,0.9533333333333334
entropy,1,6,10,0.6666666666666666
gini,8,5,3,0.9533333333333334
entropy,1,8,4,0.6666666666666666
entropy,5,2,5,0.9533333333333334
gini,7,5,6,0.9533333333333334
entropy,1,6,7,0.6666666666666666
entropy,1,9,8,0.6666666666666666
entropy,4,10,9,0.9466666666666668
gini,10,7,9,0.9466666666666668
entropy,1,5,3,0.6666666666666666
entropy,1,5,1,0.6666666666666666
entropy,9,10,4,0.9533333333333334
gini,10,6,7,0.9466666666666668
gini,10,7,1,0.9533333333333334
gini,8,10,10,0.9466666666666668
entropy,1,2,4,0.6666666666666666
entropy,10,9,10,0.9533333333333334
gini,10,9,7,0.9533333333333334
entropy,10,10,1,0.9533333333333334
entropy,2,7,5,0.9466666666666668
gini,3,10,9,0.9466666666666668
entropy,10,10,9,0.9533333333333334
gini,10,10,7,0.9466666666666668
entropy,1,9,10,0.6666666666666666
gini,10,4,10,0.9466666666666668
gini,5,2,8,0.9466666666666668
