criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
gini,15,2,7,0.9538398692810456
gini,8,14,19,0.9473039215686274
entropy,5,18,2,0.9538398692810456
gini,9,19,16,0.9473039215686274
gini,14,18,18,0.9473039215686274
gini,2,14,12,0.9473039215686274
entropy,14,8,14,0.9473039215686274
gini,13,14,7,0.9538398692810456
gini,10,18,7,0.9538398692810456
gini,1,2,1,0.9538398692810456
